ISO;Score 2026;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
TUR;2794;163;2016;163;2678;166;312;159;2893;162;3261;159;EEAC;Turquie;Türkiye;Turquía;Turquia ;?????;?????;2026;159;-4;294;-1,46
VEN;3048;159;1308;170;2856;159;324;155;4058;141;3777;151;Amériques;Venezuela;Venezuela;Venezuela;Venezuela ;???????;???????;2026;160;1;2921;1,27
KHM;3328;151;2116;161;2811;162;3713;145;3795;147;4206;141;Asie-Pacifique;Cambodge;Cambodia;Camboya;Cambodja ;???????;??????;2026;161;10;2818;5,1
SAU;1911;176;122;175;33;141;1313;177;2139;172;1581;176;MENA;Arabie Saoudite;Saudi Arabia;Arabia Saudita;Arábia Saudita ;??????? ??????? ????????;??????? ?????;2026;162;-14;2794;-8,83
PSE;3209;156;3043;136;4093;90;3445;150;3803;146;1661;175;MENA;Palestine;Palestine;Palestina;Palestina ;??????;??????;2026;163;7;2741;4,68
ARE;3086;158;2127;159;3545;123;1716;173;2544;170;5497;115;MENA;Émirats arabes unis;United Arab Emirates;Emiratos Árabes Unidos;Emirados Árabes Unidos ;???????? ??????? ???????;?????? ????? ????;2026;164;6;2691;3,95
CUB;2922;160;1815;165;2326;170;1657;175;2727;167;6088;110;Amériques;Cuba;Cuba;Cuba;Cuba ;????;????;2026;165;5;2603;3,19
SGP;4457;123;3398;127;3759;110;2482;164;4221;137;8423;75;Asie-Pacifique;Singapour;Singapore;Singapur;Cingapura ;????????;???????;2026;123;0;4578;-1,21
AZE;2395;171;1275;172;1836;176;3183;157;2889;163;279;164;EEAC;Azerbaïdjan;Azerbaijan;Azerbaiyán;Azerbaijão ;????????;?????????;2026;167;-4;2547;-1,52
DJI;2504;167;1754;166;1405;179;247;165;2064;174;4825;127;Afrique;Djibouti;Djibouti;Yibuti;Djibuti ;??????;??????;2026;168;1;2536;-0,32
MMR;2638;166;2679;147;3768;109;2094;169;2869;164;1782;173;Asie-Pacifique;Birmanie;Myanmar;Birmania;Birmânia ;?????;????;2026;169;3;2532;1,06
EGY;2492;169;1504;168;2632;167;2732;162;2694;169;2899;163;MENA;Égypte;Egypt;Egipto;Egito ;???;???;2026;170;1;2474;0,18
RUS;2315;172;1176;176;3075;155;2218;166;2724;168;238;170;EEAC;Russie;Russia;Rusia;Rússia ;?????;?????;2026;171;-1;2457;-1,42
NIC;2498;168;1394;169;32;147;1955;171;3535;154;2409;169;Amériques;Nicaragua;Nicaragua;Nicaragua;Nicarágua ;?????????;??????????;2026;172;4;2283;2,15
SYR;3944;141;4074;103;3777;107;3979;139;4308;134;3581;154;MENA;Syrie;Syria;Siria;Síria ;?????;?????;2026;177;36;1582;23,62
KAZ;3441;149;2372;154;3165;150;3428;152;393;143;4309;138;EEAC;Kazakhstan;Kazakhstan;Kazajistán;Cazaquistão ;?????????;????????;2026;141;-8;3934;-4,93
VNM;2115;174;1121;178;1875;174;1963;170;284;165;2775;165;Asie-Pacifique;Vietnam;Vietnam;Vietnam;Vietnã ;??????;??????;2026;173;-1;1974;1,41
IRN;1745;177;1517;167;184;175;1609;176;2041;176;1718;174;MENA;Iran;Iran;Irán;Irã ;?????;?????;2026;176;-1;1622;1,23
TKM;2306;173;1255;174;1562;177;2712;163;859;179;5142;122;EEAC;Turkménistan;Turkmenistan;Turkmenistán;Turcomenistão ;??????????;?????????;2026;174;1;1914;3,92
CHN;1385;178;886;179;2166;173;1103;179;1525;177;1243;179;Asie-Pacifique;Chine;China;China;China ;?????;???;2026;178;0;148;-0,95
PRK;1267;179;1126;177;1524;178;1697;174;507;180;1483;178;Asie-Pacifique;Corée du Nord;North Korea;Corea del Norte;Coreia do Norte ;????? ????????;??? ?????;2026;179;0;1264;0,03
ERI;1024;180;804;180;1215;180;99;180;957;178;1154;180;Afrique;Érythrée;Eritrea;Eritrea;Eritreia ;???????;??????;2026;180;0;1132;-1,08
